E_mm_a,E_mm_n
-1.6390000000000386,0.978999999999673
-1.6380000000000388,0.9899999999996718
-1.6370000000000389,1.0019999999996705
-1.636000000000039,1.0129999999996693
-1.635000000000039,1.024999999999668
-1.6340000000000392,1.0369999999996666
-1.6330000000000393,1.0479999999996654
-1.6320000000000394,1.059999999999664
-1.6310000000000395,1.0719999999996628
-1.6300000000000396,1.0829999999996616
-1.6290000000000397,1.0949999999996602
-1.6280000000000399,1.106999999999659
-1.62700000000004,1.1189999999996576
-1.62600000000004,1.1309999999996563
-1.6250000000000402,1.142999999999655
-1.6240000000000403,1.1549999999996536
-1.6230000000000404,1.1669999999996523
-1.6220000000000405,1.178999999999651
-1.6210000000000406,1.1909999999996497
-1.6200000000000407,1.2029999999996484
-1.6190000000000409,1.214999999999647
-1.618000000000041,1.2279999999996456
-1.617000000000041,1.2399999999996443
-1.6160000000000412,1.251999999999643
-1.6150000000000413,1.2649999999996415
-1.6140000000000414,1.2769999999996402
-1.6130000000000415,1.2899999999996388
-1.6120000000000416,1.3019999999996374
-1.6110000000000417,1.314999999999636
-1.6100000000000418,1.3269999999996347
-1.609000000000042,1.3399999999996333
-1.608000000000042,1.3529999999996318
-1.6070000000000422,1.3659999999996304
-1.6060000000000423,1.378999999999629
-1.6050000000000424,1.3919999999996275
-1.6040000000000425,1.404999999999626
-1.6030000000000426,1.4179999999996247
-1.6020000000000427,1.4309999999996232
-1.6010000000000428,1.4439999999996218
-1.600000000000043,1.4569999999996204
-1.599000000000043,1.4709999999996188
-1.5980000000000432,1.4839999999996174
-1.5970000000000433,1.4979999999996159
-1.5960000000000434,1.5109999999996144
-1.5950000000000435,1.5249999999996129
-1.5940000000000436,1.5379999999996115
-1.5930000000000437,1.55099999999961
-1.5920000000000438,1.5629999999996087
-1.591000000000044,1.5749999999996074
-1.590000000000044,1.587999999999606
-1.5890000000000442,1.5999999999996046
-1.5880000000000443,1.6129999999996032
-1.5870000000000444,1.6259999999996018
-1.5860000000000445,1.6379999999996004
-1.5850000000000446,1.650999999999599
-1.5840000000000447,1.6639999999995976
-1.5830000000000448,1.6769999999995961
-1.582000000000045,1.6889999999995948
-1.581000000000045,1.7019999999995934
-1.5800000000000451,1.714999999999592
-1.5790000000000453,1.7279999999995905
-1.5780000000000454,1.741999999999589
-1.5770000000000455,1.7549999999995876
-1.5760000000000456,1.7679999999995861
-1.5750000000000457,1.7809999999995847
-1.5740000000000458,1.7949999999995832
-1.573000000000046,1.8079999999995817
-1.572000000000046,1.8219999999995802
-1.5710000000000461,1.8349999999995787
-1.5700000000000462,1.8489999999995772
-1.5690000000000464,1.8619999999995758
-1.5680000000000465,1.8759999999995742
-1.5670000000000466,1.8899999999995727
-1.5660000000000467,1.9039999999995711
-1.5650000000000468,1.9179999999995696
-1.564000000000047,1.931999999999568
-1.563000000000047,1.9459999999995665
-1.5620000000000471,1.959999999999565
-1.5610000000000472,1.9749999999995633
-1.5600000000000473,1.9889999999995618
-1.5590000000000475,2.00399999999956
-1.5580000000000476,2.0179999999995584
-1.5570000000000477,2.032999999999557
-1.5560000000000478,2.047999999999555
-1.555000000000048,2.0619999999995535
-1.554000000000048,2.0769999999995523
-1.5530000000000481,2.09199999999955
-1.5520000000000482,2.1079999999995485
-1.5510000000000483,2.1229999999995464
-1.5500000000000485,2.137999999999545
-1.5490000000000486,2.1539999999995434
-1.5480000000000487,2.168999999999542
-1.5470000000000488,2.1849999999995404
-1.546000000000049,2.2009999999995387
-1.545000000000049,2.2159999999995366
-1.544000000000049,2.231999999999535
-1.5430000000000492,2.2489999999995334
-1.5420000000000493,2.2649999999995316
-1.5410000000000494,2.28099999999953
-1.5400000000000496,2.2979999999995275
-1.5390000000000497,2.3139999999995258
-1.5380000000000498,2.3309999999995235
-1.5370000000000499,2.347999999999522
-1.53600000000005,2.3649999999995206
-1.53500000000005,2.3819999999995183
-1.5340000000000502,2.396999999999517
-1.5330000000000503,2.411999999999515
-1.5320000000000504,2.4259999999995134
-1.5310000000000505,2.4409999999995122
-1.5300000000000507,2.45599999999951
-1.5290000000000508,2.470999999999508
-1.5280000000000509,2.485999999999507
