E_mm_a,E_mm_n_left,E_mm_n_right
-1.7520000000000262,-1.99,2.5
-1.7510000000000263,-1.99,2.5
-1.7500000000000264,-1.99,2.5
-1.7490000000000265,-1.99,2.5
-1.7480000000000266,-1.99,2.5
-1.7470000000000268,-1.99,2.5
-1.7460000000000269,-1.99,2.5
-1.745000000000027,-1.99,2.5
-1.744000000000027,-1.99,2.5
-1.7430000000000272,-1.99,2.5
-1.7420000000000273,-1.99,2.5
-1.7410000000000274,-1.99,2.5
-1.7400000000000275,-1.99,2.5
-1.7390000000000276,-1.99,2.5
-1.7380000000000277,-1.99,2.5
-1.7370000000000279,-1.99,2.5
-1.736000000000028,-1.99,2.5
-1.735000000000028,-1.99,2.5
-1.7340000000000282,-1.99,2.5
-1.7330000000000283,-1.99,2.5
-1.7320000000000284,-1.99,2.5
-1.7310000000000285,-1.99,2.5
-1.7300000000000286,-1.99,2.5
-1.7290000000000287,-1.99,2.5
-1.7280000000000288,-1.99,2.5
-1.727000000000029,-1.99,2.5
-1.726000000000029,-1.99,2.5
-1.7250000000000292,-1.99,2.5
-1.7240000000000293,-1.99,2.5
-1.7230000000000294,-1.99,2.5
-1.7220000000000295,-1.99,2.5
-1.7210000000000296,-1.99,2.5
-1.7200000000000297,-1.99,2.5
-1.7190000000000298,-1.99,2.5
-1.71800000000003,-1.99,2.5
-1.71700000000003,-1.99,2.5
-1.7160000000000302,-1.99,2.5
-1.7150000000000303,-1.99,2.5
-1.7140000000000304,-1.99,2.5
-1.7130000000000305,-1.99,2.5
-1.7120000000000306,-1.99,2.5
-1.7110000000000307,-1.99,2.5
-1.7100000000000308,-1.99,2.5
-1.709000000000031,-1.99,2.5
-1.708000000000031,-1.99,2.5
-1.7070000000000312,-1.99,2.5
-1.7060000000000313,-1.99,2.5
-1.7050000000000314,-1.99,2.5
-1.7040000000000315,-1.99,2.5
-1.7030000000000316,-1.99,2.5
-1.7020000000000317,-1.99,2.5
-1.7010000000000318,-1.99,2.5
-1.700000000000032,-1.99,2.5
-1.699000000000032,-1.99,2.5
-1.6980000000000322,-1.99,2.5
-1.6970000000000323,-1.99,2.5
-1.6960000000000324,-1.99,2.5
-1.6950000000000325,-1.99,2.5
-1.6940000000000326,-1.99,2.5
-1.6930000000000327,-1.99,2.5
-1.6920000000000328,-1.99,2.5
-1.691000000000033,-1.99,2.5
-1.690000000000033,-1.99,2.5
-1.6890000000000331,-1.99,2.5
-1.6880000000000333,-1.99,2.5
-1.6870000000000334,-1.99,2.5
-1.6860000000000335,-1.99,2.5
-1.6850000000000336,-1.99,2.5
-1.6840000000000337,-1.99,2.5
-1.6830000000000338,-1.99,2.5
-1.682000000000034,-1.99,2.5
-1.681000000000034,-1.99,2.5
-1.6800000000000341,-1.99,2.5
-1.6790000000000342,-1.99,2.5
-1.6780000000000344,-1.99,2.5
-1.6770000000000345,-1.99,2.5
-1.6760000000000346,-1.99,2.5
-1.6750000000000347,-1.99,2.5
-1.6740000000000348,-1.99,2.5
-1.673000000000035,-1.99,2.5
-1.672000000000035,-1.99,2.5
-1.6710000000000351,-1.99,2.5
-1.6700000000000352,-1.99,2.5
-1.6690000000000353,-1.99,2.5
-1.6680000000000355,-1.99,2.5
-1.6670000000000356,-1.99,2.5
-1.6660000000000357,-1.99,2.5
-1.6650000000000358,-1.99,2.5
-1.664000000000036,-1.99,2.5
-1.663000000000036,-1.99,2.5
-1.6620000000000361,-1.99,2.5
-1.6610000000000362,-1.99,2.5
-1.6600000000000363,-1.99,2.5
-1.6590000000000364,-1.99,2.5
-1.6580000000000366,-1.99,2.5
-1.6570000000000367,-1.99,2.5
-1.6560000000000368,-1.99,2.5
-1.6550000000000369,-1.99,2.5
-1.654000000000037,-1.99,2.5
-1.653000000000037,-1.99,2.5
-1.6520000000000372,-1.99,2.5
-1.6510000000000373,-1.99,2.5
-1.6500000000000374,-1.99,2.5
-1.6490000000000375,-1.99,2.5
-1.6480000000000377,-1.99,2.5
-1.6470000000000378,-1.99,2.5
-1.6460000000000379,-1.99,2.5
-1.645000000000038,-1.99,2.5
-1.644000000000038,-1.99,2.5
-1.6430000000000382,-1.99,2.5
-1.6420000000000383,-1.99,2.5
-1.6410000000000384,-1.99,2.5
-1.6400000000000385,-1.99,2.5
-1.6390000000000386,-1.99,2.5
-1.6380000000000388,-1.99,2.5
-1.6370000000000389,-1.99,2.5
-1.636000000000039,-1.99,2.5
-1.635000000000039,-1.99,2.5
-1.6340000000000392,-1.99,2.5
-1.6330000000000393,-1.99,2.5
-1.6320000000000394,-1.99,2.5
-1.6310000000000395,-1.99,2.5
-1.6300000000000396,-1.99,2.5
