,i1,i2,dmu,mu_a1,mu_b1,mu_c1,phi_a1,phi_b1,phi_c1,mu_a2,mu_b2,mu_c2,phi_a2,phi_b2,phi_c2
132683,47754,1507,0.072464437080677,-0.0916782569696679,-62.646925235120605,-4.333304316572978,0.1792220109394749,0.5264214046822743,0.2943565843782508,-0.0286049071351054,-62.61320676489464,-4.344962444539642,0.8466345678459973,0.120066889632107,0.0332985425218956
132684,47755,1625,0.0638965045001266,-0.0903889529048467,-62.431811842877394,-4.346149181846375,0.1807991968769924,0.5264214046822743,0.2927793984407333,-0.0288598479103985,-62.421854147680456,-4.360212496970546,0.8450238476079687,0.1217391304347826,0.0332370219572487
132685,47756,2220,0.062371657154715,-0.089175749657741,-62.21669845063423,-4.35902306669596,0.1823763828145098,0.5264214046822743,0.2912022125032159,-0.0303763501553178,-62.19860661186457,-4.348749819677003,0.8340675719510967,0.1301003344481605,0.0358320936007427
132686,47757,2340,0.0581644881847662,-0.0880373366351736,-62.00158505839103,-4.371926286324606,0.1839535687520273,0.5264214046822743,0.2896250265656983,-0.0306609072098824,-62.00694685016891,-4.364032984028922,0.8324624444916724,0.1317725752508361,0.0357649802574914
132687,47758,2461,0.0634205619391575,-0.0869724368112907,-61.78647166614785,-4.38485916109871,0.1855307546895448,0.5264214046822743,0.2880478406281809,-0.0309567950159355,-61.815691759766665,-4.379327282589515,0.830857317032248,0.1334448160535117,0.0356978669142403
132688,47759,3066,0.0584477288124194,-0.085979805590945,-61.57135827390464,-4.397822016661602,0.1871079406270623,0.5264214046822743,0.2864706546906633,-0.0324382713374211,-61.57309946545786,-4.374446615807631,0.8199681547186274,0.1418060200668896,0.0382258252144829
132689,47760,3188,0.0617378767194668,-0.085058229720778,-61.35624488166147,-4.410815184050076,0.1886851265645798,0.5264214046822743,0.2848934687531459,-0.0327665656994693,-61.38143439231578,-4.389776271323729,0.8183686200378071,0.1434782608695652,0.0381531190926276
132690,47761,3799,0.063658177440264,-0.084206526245633,-61.14113148941829,-4.423838999814155,0.1902623125020972,0.5264214046822743,0.2833162828156285,-0.0342133536033715,-61.12009809955918,-4.390512692559799,0.8075409782888335,0.1518394648829431,0.0406195568282233
132691,47762,3922,0.0578939047479072,-0.0834235415080415,-60.92601809717509,-4.436893806140203,0.1918394984396147,0.5264214046822743,0.2817390968781109,-0.0345766103171305,-60.9279710957487,-4.405879820315069,0.8059470363866176,0.1535117056856187,0.0405412579277636
132692,47763,4046,0.0612071081796116,-0.0827081501886646,-60.71090470493191,-4.449979950977492,0.1934166843771322,0.5264214046822743,0.2801619109405935,-0.0349517280378805,-60.73621714904591,-4.421258627748178,0.8043530944844018,0.1551839464882943,0.0404629590273038
