TE | M_tot | aa | na | an | nn | S_tot | aa | na | an | nn | timestep 
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 2 | 0 | 0 | 89
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 2 | 0 | 0 | 90
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 2 | 0 | 0 | 91
-89.2 | 10 | 10 | 0 | 0 | 0 | 28 | 25 | 2 | 1 | 0 | 92
-88.8 | 10 | 10 | 0 | 0 | 0 | 28 | 24 | 3 | 1 | 0 | 93
-88.8 | 10 | 10 | 0 | 0 | 0 | 28 | 24 | 3 | 1 | 0 | 94
-88.8 | 10 | 10 | 0 | 0 | 0 | 28 | 24 | 3 | 1 | 0 | 95
-88.8 | 10 | 10 | 0 | 0 | 0 | 28 | 24 | 3 | 1 | 0 | 96
-88.4 | 9 | 9 | 0 | 0 | 0 | 30 | 26 | 3 | 1 | 0 | 97
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 98
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 99
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 100
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 101
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 4 | 0 | 0 | 102
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 4 | 0 | 0 | 103
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 4 | 0 | 0 | 104
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 4 | 0 | 0 | 105
-88 | 7 | 7 | 0 | 0 | 0 | 34 | 31 | 3 | 0 | 0 | 106
-88 | 7 | 7 | 0 | 0 | 0 | 34 | 31 | 3 | 0 | 0 | 107
-88 | 7 | 7 | 0 | 0 | 0 | 34 | 31 | 3 | 0 | 0 | 108
-88 | 7 | 7 | 0 | 0 | 0 | 34 | 31 | 3 | 0 | 0 | 109
-88 | 7 | 7 | 0 | 0 | 0 | 34 | 31 | 3 | 0 | 0 | 110
-88 | 7 | 7 | 0 | 0 | 0 | 34 | 31 | 3 | 0 | 0 | 111
-88 | 7 | 7 | 0 | 0 | 0 | 34 | 31 | 3 | 0 | 0 | 112
-88 | 7 | 7 | 0 | 0 | 0 | 34 | 31 | 3 | 0 | 0 | 113
-88 | 7 | 7 | 0 | 0 | 0 | 34 | 31 | 3 | 0 | 0 | 114
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 115
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 116
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 117
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 118
