START POLYMER 0
8 4993 4988
8 4994 4988
7 4994 4988
7 4994 4989
8 4994 4989
8 4993 4989
8 4992 4989
8 4991 4989
8 4991 4988
8 4990 4988
9 4990 4988
9 4989 4988
8 4989 4988
8 4989 4987
8 4989 4986
8 4988 4986
8 4988 4985
8 4989 4985
8 4989 4984
8 4990 4984
9 4990 4984
9 4989 4984
9 4988 4984
8 4988 4984
8 4988 4983
8 4989 4983
8 4989 4982
8 4988 4982
8 4988 4981
7 4988 4981
7 4987 4981
7 4987 4982
8 4987 4982
8 4987 4981
8 4987 4980
7 4987 4980
7 4988 4980
8 4988 4980
8 4988 4979
9 4988 4979
9 4989 4979
9 4989 4980
8 4989 4980
8 4989 4979
8 4990 4979
8 4990 4978
8 4991 4978
8 4991 4977
9 4991 4977
10 4991 4977
10 4992 4977
9 4992 4977
9 4992 4976
10 4992 4976
10 4993 4976
10 4993 4975
10 4994 4975
10 4995 4975
10 4996 4975
10 4997 4975
10 4997 4974
10 4997 4973
10 4997 4972
10 4996 4972
11 4996 4972
12 4996 4972
13 4996 4972
13 4997 4972
13 4997 4971
13 4998 4971
13 4998 4972
12 4998 4972
12 4999 4972
12 4999 4971
11 4999 4971
11 4998 4971
11 4997 4971
11 4996 4971
10 4996 4971
10 4996 4970
11 4996 4970
11 4997 4970
11 4998 4970
11 4998 4969
11 4998 4968
11 4997 4968
11 4997 4969
12 4997 4969
12 4997 4970
12 4996 4970
12 4996 4969
12 4996 4968
13 4996 4968
13 4996 4969
14 4996 4969
14 4997 4969
13 4997 4969
13 4998 4969
14 4998 4969
14 4998 4970
13 4998 4970
12 4998 4970
12 4998 4971
12 4997 4971
12 4996 4971
13 4996 4971
13 4995 4971
14 4995 4971
14 4994 4971
14 4994 4970
14 4993 4970
13 4993 4970
13 4993 4969
13 4993 4968
12 4993 4968
12 4992 4968
12 4991 4968
12 4991 4969
12 4992 4969
12 4992 4970
12 4991 4970
11 4991 4970
11 4991 4969
11 4992 4969
11 4992 4970
10 4992 4970
9 4992 4970
9 4993 4970
8 4993 4970
8 4993 4969
7 4993 4969
7 4994 4969
7 4995 4969
6 4995 4969
6 4996 4969
6 4997 4969
6 4997 4968
6 4996 4968
6 4995 4968
5 4995 4968
5 4996 4968
4 4996 4968
4 4996 4967
3 4996 4967
3 4995 4967
3 4995 4968
4 4995 4968
4 4994 4968
4 4994 4969
4 4995 4969
4 4996 4969
4 4997 4969
5 4997 4969
5 4997 4970
5 4996 4970
5 4996 4969
5 4995 4969
5 4994 4969
5 4994 4968
5 4993 4968
6 4993 4968
6 4994 4968
6 4994 4969
6 4994 4970
7 4994 4970
7 4995 4970
7 4995 4971
7 4994 4971
7 4994 4972
6 4994 4972
5 4994 4972
4 4994 4972
4 4995 4972
3 4995 4972
3 4996 4972
3 4996 4971
3 4996 4970
2 4996 4970
1 4996 4970
1 4995 4970
2 4995 4970
2 4995 4971
1 4995 4971
1 4995 4972
1 4994 4972
1 4994 4973
1 4994 4974
1 4995 4974
1 4995 4973
1 4996 4973
0 4996 4973
0 4996 4974
0 4996 4975
1 4996 4975
2 4996 4975
3 4996 4975
3 4996 4976
2 4996 4976
1 4996 4976
0 4996 4976
0 4996 4977
0 4997 4977
0 4997 4978
0 4996 4978
0 4996 4979
0 4995 4979
1 4995 4979
1 4996 4979
2 4996 4979
2 4996 4978
3 4996 4978
3 4996 4977
2 4996 4977
2 4995 4977
1 4995 4977
1 4996 4977
1 4996 4978
1 4997 4978
1 4997 4977
2 4997 4977
2 4997 4978
2 4997 4979
3 4997 4979
3 4996 4979
4 4996 4979
4 4996 4980
4 4995 4980
5 4995 4980
6 4995 4980
6 4996 4980
6 4996 4979
6 4995 4979
5 4995 4979
4 4995 4979
4 4995 4978
4 4994 4978
4 4994 4977
4 4994 4976
5 4994 4976
6 4994 4976
6 4994 4975
5 4994 4975
5 4994 4974
4 4994 4974
3 4994 4974
2 4994 4974
2 4994 4975
3 4994 4975
4 4994 4975
4 4993 4975
4 4992 4975
4 4992 4976
5 4992 4976
5 4992 4975
5 4992 4974
4 4992 4974
3 4992 4974
3 4992 4973
3 4991 4973
4 4991 4973
4 4990 4973
3 4990 4973
3 4989 4973
3 4989 4974
3 4989 4975
3 4989 4976
2 4989 4976
1 4989 4976
1 4990 4976
1 4991 4976
0 4991 4976
0 4990 4976
0 4989 4976
5001 4989 4976
5000 4989 4976
5000 4989 4975
5001 4989 4975
5001 4989 4974
5001 4988 4974
5000 4988 4974
5000 4987 4974
5001 4987 4974
5001 4986 4974
5001 4985 4974
5001 4985 4975
5001 4984 4975
0 4984 4975
1 4984 4975
1 4983 4975
0 4983 4975
0 4982 4975
0 4982 4976
1 4982 4976
1 4983 4976
2 4983 4976
2 4984 4976
2 4984 4975
2 4984 4974
3 4984 4974
3 4984 4975
3 4985 4975
3 4985 4974
3 4985 4973
3 4984 4973
4 4984 4973
5 4984 4973
5 4984 4974
6 4984 4974
7 4984 4974
7 4984 4973
8 4984 4973
8 4984 4972
9 4984 4972
9 4983 4972
10 4983 4972
10 4982 4972
10 4981 4972
9 4981 4972
9 4981 4973
8 4981 4973
8 4981 4974
9 4981 4974
9 4981 4975
10 4981 4975
10 4980 4975
10 4980 4976
11 4980 4976
12 4980 4976
12 4979 4976
13 4979 4976
13 4980 4976
13 4980 4977
12 4980 4977
11 4980 4977
11 4980 4978
11 4980 4979
12 4980 4979
13 4980 4979
13 4980 4978
14 4980 4978
14 4980 4979
14 4981 4979
14 4982 4979
14 4983 4979
14 4983 4978
15 4983 4978
15 4983 4977
15 4982 4977
14 4982 4977
14 4982 4976
13 4982 4976
12 4982 4976
12 4983 4976
13 4983 4976
13 4983 4977
13 4982 4977
13 4981 4977
12 4981 4977
12 4981 4978
12 4981 4979
11 4981 4979
11 4981 4980
11 4982 4980
12 4982 4980
12 4982 4979
11 4982 4979
11 4982 4978
12 4982 4978
12 4983 4978
12 4984 4978
13 4984 4978
13 4984 4977
12 4984 4977
12 4985 4977
12 4985 4976
12 4985 4975
12 4986 4975
13 4986 4975
13 4985 4975
14 4985 4975
14 4984 4975
14 4984 4976
14 4984 4977
15 4984 4977
15 4985 4977
15 4985 4978
15 4986 4978
15 4987 4978
16 4987 4978
16 4987 4979
16 4987 4980
16 4986 4980
16 4985 4980
17 4985 4980
17 4985 4981
16 4985 4981
15 4985 4981
15 4985 4980
15 4985 4979
15 4984 4979
15 4984 4978
16 4984 4978
16 4984 4977
16 4985 4977
16 4985 4978
17 4985 4978
17 4985 4977
18 4985 4977
18 4986 4977
18 4987 4977
18 4987 4978
17 4987 4978
17 4987 4977
16 4987 4977
15 4987 4977
14 4987 4977
13 4987 4977
13 4986 4977
12 4986 4977
12 4986 4978
12 4986 4979
12 4985 4979
12 4985 4978
11 4985 4978
11 4985 4979
11 4985 4980
11 4985 4981
11 4985 4982
11 4985 4983
11 4985 4984
11 4985 4985
12 4985 4985
12 4984 4985
12 4983 4985
